Java HotSpot(TM) Client VM (25.60-b23) for windows-x86 JRE (1.8.0_60-b27), built on Aug  4 2015 10:57:40 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 3399160k(995136k free), swap 6796604k(3629564k free)
CommandLine flags: -XX:InitialHeapSize=1048576000 -XX:MaxHeapSize=1048576000 -XX:MaxNewSize=1048576 -XX:NewSize=1048576 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.164: [GC (Allocation Failure) 0.165: [DefNew: 896K->64K(960K), 0.0019396 secs] 896K->615K(1023936K), 0.0021371 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.242: [GC (Allocation Failure) 0.242: [DefNew: 960K->64K(960K), 0.0020429 secs] 1511K->1465K(1023936K), 0.0021382 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.288: [GC (Allocation Failure) 0.288: [DefNew: 960K->63K(960K), 0.0020307 secs] 2361K->2331K(1023936K), 0.0021277 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.337: [GC (Allocation Failure) 0.337: [DefNew: 959K->63K(960K), 0.0017409 secs] 3227K->3226K(1023936K), 0.0018247 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.386: [GC (Allocation Failure) 0.387: [DefNew: 959K->63K(960K), 0.0022632 secs] 4122K->4112K(1023936K), 0.0023550 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.440: [GC (Allocation Failure) 0.440: [DefNew: 959K->64K(960K), 0.0019218 secs] 5008K->4994K(1023936K), 0.0020048 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.575: [GC (Allocation Failure) 0.575: [DefNew: 960K->63K(960K), 0.0014658 secs] 5890K->5879K(1023936K), 0.0015189 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.623: [GC (Allocation Failure) 0.623: [DefNew: 959K->63K(960K), 0.0012951 secs] 6775K->6759K(1023936K), 0.0013527 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.688: [GC (Allocation Failure) 0.688: [DefNew: 959K->64K(960K), 0.0020171 secs] 7655K->7650K(1023936K), 0.0021106 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.760: [GC (Allocation Failure) 0.760: [DefNew: 960K->63K(960K), 0.0016313 secs] 8546K->8523K(1023936K), 0.0016987 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.807: [GC (Allocation Failure) 0.807: [DefNew: 959K->63K(960K), 0.0019155 secs] 9419K->9406K(1023936K), 0.0020146 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.854: [GC (Allocation Failure) 0.854: [DefNew: 959K->63K(960K), 0.0028699 secs] 10302K->10289K(1023936K), 0.0029662 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
